"filename", "language", "Solidity", "comment", "blank", "total"
"c:\REMIX\course_assignments\buggy-nft-factory-master\script\Counter.s.sol", "Solidity", 8, 1, 4, 13
"c:\REMIX\course_assignments\buggy-nft-factory-master\src\BuggyNFT.sol", "Solidity", 369, 79, 47, 495
"c:\REMIX\course_assignments\buggy-nft-factory-master\src\NFTFactory.sol", "Solidity", 25, 7, 11, 43
"c:\REMIX\course_assignments\buggy-nft-factory-master\src\interfaces\IUniswapV2Factory.sol", "Solidity", 22, 1, 10, 33
"c:\REMIX\course_assignments\buggy-nft-factory-master\src\interfaces\IUniswapV2Pair.sol", "Solidity", 81, 1, 30, 112
"c:\REMIX\course_assignments\buggy-nft-factory-master\src\interfaces\IUniswapV2Router01.sol", "Solidity", 141, 1, 20, 162
"c:\REMIX\course_assignments\buggy-nft-factory-master\src\interfaces\IUniswapV2Router02.sol", "Solidity", 47, 1, 8, 56
"c:\REMIX\course_assignments\buggy-nft-factory-master\src\interfaces\IWETH.sol", "Solidity", 7, 1, 5, 13
"c:\REMIX\course_assignments\buggy-nft-factory-master\test\FactoryTests.sol", "Solidity", 16, 1, 9, 26
"Total", "-", 716, 93, 144, 953
